system:index,datetime,dewpoint_temperature_2m,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20210101T00,2021-01-01 00:00:00,283.1961058932078,100310.28749104674,284.5783307328599,8.55796315590851E-7,1.2439039929279305,-1.8671405437595134,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T01,2021-01-01 01:00:00,282.8214536718594,100371.69352836609,284.1860934720056,0.0,1.3787532617297642,-1.7830905042392784,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T02,2021-01-01 02:00:00,283.444840391553,100459.70564642371,285.17489517636443,0.0,1.139615603137587,-1.403747962450236,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T03,2021-01-01 03:00:00,283.57521168496703,100549.7093754859,289.09215843608985,0.0,1.1379746079641972,-1.6665654731254682,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T04,2021-01-01 04:00:00,282.8466585519849,100578.06180394375,291.89144371520314,0.0,1.0248756223123348,-2.067786196346262,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T05,2021-01-01 05:00:00,281.8849325790125,100556.35372055044,294.0265806688843,0.0,0.8677073338586084,-2.3703201712032733,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T06,2021-01-01 06:00:00,281.1463399677365,100456.06509947464,295.5453187063665,0.0,0.8043263886400634,-2.4859441821106567,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T07,2021-01-01 07:00:00,280.19103530576973,100370.92960420516,296.31273009599283,0.0,0.6818676422609458,-2.7256243344841873,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T08,2021-01-01 08:00:00,279.6818326953068,100254.74237627973,296.87200388037223,0.0,0.7046575568769992,-2.694564854913255,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T09,2021-01-01 09:00:00,279.4038084283695,100192.13583755711,297.0135397270339,0.0,0.7670468999843354,-2.643487235273347,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T10,2021-01-01 10:00:00,279.26880771426136,100172.13432748495,296.6715364861141,0.0,0.7418507498864149,-2.5593800294686826,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T11,2021-01-01 11:00:00,280.6376911907061,100165.25227766596,295.2286522414771,0.0,0.4083748685821239,-2.0414496924518795,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T12,2021-01-01 12:00:00,280.60921565241847,100203.78343277938,293.1484751906122,0.0,0.3309175770372402,-2.4082814893297106,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T13,2021-01-01 13:00:00,280.54155256222367,100263.88283651146,291.3742409585275,0.0,0.2284022374941296,-2.52351760330598,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T14,2021-01-01 14:00:00,280.4789940282613,100303.71278903178,289.9433012768057,0.0,0.22681090882528382,-2.500180306288344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T15,2021-01-01 15:00:00,280.47989459803705,100364.49915932302,288.77495178091556,0.0,0.3047671572418558,-2.421704063915227,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T16,2021-01-01 16:00:00,280.5264672790066,100387.93335639537,287.7574674608022,0.0,0.41468235200062603,-2.3235795842583276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T17,2021-01-01 17:00:00,280.6143758735721,100413.03094403337,286.88218625874396,0.0,0.568387045961295,-2.271112970851898,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T18,2021-01-01 18:00:00,280.69661580633084,100373.62442195862,286.1048227473759,0.0,0.6882418483284721,-2.220766678168016,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T19,2021-01-01 19:00:00,280.7417445709927,100314.81659088984,285.4796156295878,0.0,0.7219358825295483,-2.1975684311161268,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T20,2021-01-01 20:00:00,280.85547576520054,100291.53980635843,284.93079538097544,0.0,0.7591142556716075,-2.122074501783319,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T21,2021-01-01 21:00:00,280.95072264729765,100272.73795640533,284.40734495066766,0.0,0.9082389555387497,-2.0394483692394996,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T22,2021-01-01 22:00:00,281.01280435224186,100259.97175259136,283.90835863626825,0.0,1.0704341988933654,-1.9053055588605812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101T23,2021-01-01 23:00:00,281.02567460769535,100259.13316698647,283.45210597219557,0.0,1.3057549166251854,-1.7431845515863247,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T00,2021-01-02 00:00:00,280.9859309708504,100293.08381979997,283.06886957381937,0.0,1.445291919302078,-1.6333776722474274,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T01,2021-01-02 01:00:00,280.88451493426686,100363.33101818747,282.75854967629874,0.0,1.5427847476054548,-1.528729769933815,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102T02,2021-01-02 02:00:00,281.78991919582495,100439.23365796827,283.97313963990774,0.0,1.1589379135214408,-1.143936181376016,"{""type"":""MultiPoint"",""coordinates"":[]}"
