system:index,datetime,dewpoint_temperature_2m,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20190101T00,2019-01-01 00:00:00,279.6882274632591,100577.42327219083,281.4835607474863,1.7206703546435165E-6,1.7523977936307205,-1.3506184586068088,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T01,2019-01-01 01:00:00,279.5273714906066,100672.08638328515,281.1829520666778,0.0,1.8319423069159428,-1.3034616524619287,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T02,2019-01-01 02:00:00,280.67857995948935,100756.94009384459,282.5113899618747,0.0,1.397974482097031,-0.9627289799053576,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T03,2019-01-01 03:00:00,281.637540235706,100827.72175844236,287.39015236328305,0.0,1.2252459004733,-1.045011746975536,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T04,2019-01-01 04:00:00,282.095209536692,100837.0379265649,290.5068603306043,0.0,1.034376715559927,-1.3239737740626534,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T05,2019-01-01 05:00:00,281.1467156661749,100807.14338946389,292.6594470553714,0.0,0.5271520453852266,-1.7089430039674933,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T06,2019-01-01 06:00:00,280.6454311250477,100673.92814640602,293.86872614685177,0.0,0.1415380246410122,-1.453558092417695,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T07,2019-01-01 07:00:00,281.165170335695,100560.62952265439,294.6285776033217,0.0,0.02660229666063565,-1.4697234137993802,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T08,2019-01-01 08:00:00,281.04057648788825,100421.15789657862,295.1681583012168,0.0,0.10521125106167897,-1.4488535686485742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T09,2019-01-01 09:00:00,280.85218928375616,100396.41930858923,295.43570598971144,0.0,0.15261909279700733,-1.55450740307879,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T10,2019-01-01 10:00:00,280.7725700442997,100390.48597747489,295.28952052500347,0.0,0.1762817784728404,-1.5549637936817395,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T11,2019-01-01 11:00:00,282.01697671757563,100454.0047506253,294.44579702600987,0.0,0.1800746774067704,-1.1096346460834798,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T12,2019-01-01 12:00:00,284.55733566136473,100493.9959186595,292.21807518211835,0.0,0.3115825808053135,-0.9512698428641985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T13,2019-01-01 13:00:00,282.4448109941209,100560.8484498424,290.77404321508294,0.0,0.42267597937039136,-0.9306225858136333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101T14,2019-01-01 14:00:00,282.3077479751183,100596.35110026566,288.5692155848173,0.0,0.6715890601209339,-1.1886588005290049,"{""type"":""MultiPoint"",""coordinates"":[]}"
