system:index,datetime,dewpoint_temperature_2m,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20250101T00,2025-01-01 00:00:00,283.55062281225264,100261.14457728634,284.883048854041,0.0,2.0587128115068216,-1.906464287408804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T01,2025-01-01 01:00:00,283.34408228047556,100294.44780111554,284.57894198496865,0.0,2.005734999244595,-1.8971680948787701,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T02,2025-01-01 02:00:00,283.4986297302963,100366.78253482426,285.38726614520345,0.0,1.7839539822245642,-1.7901845020513787,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T03,2025-01-01 03:00:00,283.62592246997843,100426.68956843665,287.64494821086845,0.0,1.9771005039523946,-2.3235244373636026,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T04,2025-01-01 04:00:00,283.6049080870715,100473.98175357425,289.78337132357655,0.0,1.7690904994272756,-2.309424507952502,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T05,2025-01-01 05:00:00,283.2656032203352,100437.33913333192,291.7054121226987,0.0,1.4438808798988734,-2.4928646862272688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T06,2025-01-01 06:00:00,282.9992264863867,100340.91304042542,293.24288936807227,0.0,1.1991295855078254,-2.5001128826632426,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T07,2025-01-01 07:00:00,284.03130258876536,100273.468511538,293.7686007411583,0.0,0.7678064634655554,-2.3115119904972907,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T08,2025-01-01 08:00:00,283.93944555748936,100148.80846899893,294.4678972849786,0.0,0.7698870351261115,-2.3781539308503605,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T09,2025-01-01 09:00:00,283.8070494926684,100070.02584188119,294.7218644088482,0.0,0.715140257729921,-2.5011781015933248,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T10,2025-01-01 10:00:00,283.58046964621593,100045.90926985585,294.49648618243947,0.0,0.7660770375830412,-2.413769392216178,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T11,2025-01-01 11:00:00,283.78125150849945,100068.75659247997,293.6022860472567,0.0,0.714443999741307,-1.8877109063674649,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T12,2025-01-01 12:00:00,283.91446116179304,100088.0753895321,291.86122831260417,0.0,0.9255150757060177,-2.129872199581608,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T13,2025-01-01 13:00:00,283.8916100360591,100156.59101453188,290.41304788302944,0.0,0.9488491736161038,-2.324374248803383,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T14,2025-01-01 14:00:00,283.737277603505,100198.57510768318,289.30323970212373,0.0,0.9059069428129769,-2.405674864444439,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T15,2025-01-01 15:00:00,283.50384489442763,100277.54987288642,288.3898618250863,0.0,0.8815667619741044,-2.4478684530389407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T16,2025-01-01 16:00:00,283.19617282220645,100316.73211932633,287.57090555168435,0.0,0.9310956912963434,-2.439568424313797,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250101T17,2025-01-01 17:00:00,282.87046831732187,100325.06190594251,286.8455426142519,0.0,0.9849172120541316,-2.3208620354793847,"{""type"":""MultiPoint"",""coordinates"":[]}"
