system:index,datetime,dewpoint_temperature_2m,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20200101T00,2020-01-01 00:00:00,283.9982432148003,100479.2112242575,284.990579191678,8.52346317969932E-7,1.731027366102044,-1.7271344116699099,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T01,2020-01-01 01:00:00,284.0587390857234,100598.06919627081,285.2439785515489,0.0,1.871727638870468,-1.7014869900063216,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T02,2020-01-01 02:00:00,284.6948296213278,100708.60259421983,286.49213983286023,3.635882489032726E-6,1.4763642927136365,-1.5991978303634182,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T03,2020-01-01 03:00:00,285.5870046460218,100788.91201495752,289.514177465802,1.699274884954865E-5,1.2241121610396501,-1.8892543841832097,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T04,2020-01-01 04:00:00,286.2523279659172,100873.95157137586,291.70895136787186,6.883675955957258E-5,1.1874324136576315,-2.132240931812942,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T05,2020-01-01 05:00:00,286.84087734811885,100828.85808274211,293.46283286921016,2.3903382700534342E-4,0.4602429293746608,-2.400650149904975,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T06,2020-01-01 06:00:00,287.03837476884513,100720.61230119612,294.77649124906435,2.3903382700534342E-4,0.3650625440917271,-2.547344655121518,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T07,2020-01-01 07:00:00,287.3263012007139,100627.72844935891,295.9111010005546,2.3903382700534342E-4,0.39705228562295536,-2.2046113688910034,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T08,2020-01-01 08:00:00,287.3923477885905,100531.64201043351,296.1808265007801,2.3903382700534342E-4,0.0013091783133960956,-2.217723437997131,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T09,2020-01-01 09:00:00,287.4114216884784,100470.1934713456,295.94843286554715,2.3940877397058332E-4,-0.05228039697057937,-2.1297669712371614,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T10,2020-01-01 10:00:00,287.4953488648508,100475.1702523223,295.63150049382864,2.3999857617335585E-4,0.24139804121264324,-2.5104021168365622,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T11,2020-01-01 11:00:00,287.9112100286528,100523.5446076562,294.25085483933617,2.402144834012415E-4,0.3956613948306205,-2.5225783292871267,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T12,2020-01-01 12:00:00,287.726460783149,100569.78770599072,292.58863831256406,2.4021271116809353E-4,0.1810673728198012,-2.741814645159729,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T13,2020-01-01 13:00:00,287.59078046805814,100647.47871061468,291.5186074874772,2.4021271116809353E-4,0.12027470791649998,-2.8103780026154004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101T14,2020-01-01 14:00:00,287.4920167916102,100739.82373327707,290.76417522033444,2.4107821559566405E-4,0.026759633584413117,-2.592840451802191,"{""type"":""MultiPoint"",""coordinates"":[]}"
