system:index,datetime,dewpoint_temperature_2m,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,.geo
20230101T00,2023-01-01 00:00:00,285.52914334139973,100474.49364888691,286.6011986574339,1.7106532368416083E-6,-0.6251479826760935,-1.6104379397046233,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T01,2023-01-01 01:00:00,285.370935016289,100538.84775163335,286.3469432634758,0.0,-0.6373154922673588,-1.5432355548870986,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T02,2023-01-01 02:00:00,286.24745634841355,100623.60774685766,287.4298711906614,6.231147743958314E-8,-0.49197712850454106,-1.0113663137382736,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T03,2023-01-01 03:00:00,286.5652008270101,100715.76180469457,290.89058281327664,2.3750529944596034E-7,-0.7947757102171424,-0.8475068774366102,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T04,2023-01-01 04:00:00,286.8828445640058,100752.47536049203,293.047443189851,2.371434935163416E-7,-1.2229387565598901,-0.5769848158965728,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T05,2023-01-01 05:00:00,287.0897158538472,100739.28827508989,294.8472518889635,2.371434935163416E-7,-1.478534223960349,-0.2690804288647623,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T06,2023-01-01 06:00:00,287.2291421314687,100644.73358758984,295.9709136230644,8.76356878813896E-6,-1.341771833310454,-0.0037874538790287414,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T07,2023-01-01 07:00:00,287.3626535783196,100523.26725772384,296.4899574057803,4.522389063844643E-5,-0.698566838953008,-0.09722138259747327,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T08,2023-01-01 08:00:00,287.03994605109546,100432.75920499886,296.78149756036026,5.377678046020378E-5,-0.5943541386843503,-0.0036003234294906556,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T09,2023-01-01 09:00:00,286.9140185764564,100345.63774075493,296.6332818280257,5.5395592628021974E-5,-0.6997777378311322,-0.2577307215413046,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T10,2023-01-01 10:00:00,286.85366420257213,100336.77036662794,296.59729084785357,5.979694507443686E-5,-0.8111643998126662,-0.5318500626015926,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T11,2023-01-01 11:00:00,287.35000952583795,100369.32136640981,295.97472635020887,5.979694507443686E-5,-0.9557969919161295,-0.5853951824072398,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T12,2023-01-01 12:00:00,287.4945256779017,100403.71452067175,294.9242076287026,5.979694507443686E-5,-1.5695326800788867,-0.5265644126367163,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T13,2023-01-01 13:00:00,287.5036254201022,100495.5781326174,293.83975518144837,5.979694507443686E-5,-1.913884777056319,-0.2548282317164347,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T14,2023-01-01 14:00:00,287.4756093570793,100554.44877500724,293.0549305694245,5.979694507443686E-5,-2.0131562276755575,-0.19662934964604084,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T15,2023-01-01 15:00:00,287.4412519990313,100605.44885051917,292.35432753178264,5.979694507443686E-5,-2.0338631334449966,-0.42661539907599777,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T16,2023-01-01 16:00:00,287.41014197443883,100617.5794275249,291.3826474492663,6.038641763531591E-5,-1.750729755085351,-1.0069365107021144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T17,2023-01-01 17:00:00,287.39039548769097,100616.92285345307,290.7502208124687,1.0339021328987502E-4,-1.0225355763452675,-1.6765699222051575,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T18,2023-01-01 18:00:00,287.2864345901083,100599.64062787034,290.05321921797133,1.4244544022106896E-4,-0.5628901717233826,-1.9963163096383862,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T19,2023-01-01 19:00:00,286.94205598328364,100561.47817513155,289.45612745799696,1.4341482530886177E-4,-0.38637411142430905,-2.0103686467721262,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T20,2023-01-01 20:00:00,286.7483082889527,100512.97055135603,289.00621300601296,1.4341482530886177E-4,-0.3143808929065161,-1.9834840190663785,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T21,2023-01-01 21:00:00,286.54365896445205,100489.4324894438,288.52931694298,1.446595990007075E-4,-0.12626962280230306,-1.9078666942198146,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T22,2023-01-01 22:00:00,286.36238351196295,100460.9227321262,288.0877806238081,1.4701762232226682E-4,0.18293808285050975,-1.7383025903545604,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230101T23,2023-01-01 23:00:00,286.26015128810644,100475.29199752786,288.00106791341375,1.4903789609729205E-4,0.32250159470053613,-1.5207449521553098,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T00,2023-01-02 00:00:00,286.18540537149306,100500.28463429054,288.0172740812247,1.5526703335208073E-4,0.34266622341379727,-1.4296911907696008,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T01,2023-01-02 01:00:00,286.22110525048714,100593.22146009312,288.3029005833982,2.143149633135172E-6,0.23302262478291708,-1.303746621983072,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T02,2023-01-02 02:00:00,286.3366845928836,100685.39467427,289.28534645907376,3.546039780769336E-6,-0.07810785518174405,-1.1424139361000352,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T03,2023-01-02 03:00:00,286.4987163513242,100763.62192553995,290.611414743268,7.561366699103995E-6,-0.4985981477276026,-1.0872212137927943,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T04,2023-01-02 04:00:00,286.6934332380441,100815.59917681002,292.37182954093953,1.558528035398621E-5,-0.9703923170055844,-0.9688547103053641,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T05,2023-01-02 05:00:00,286.81190420926396,100793.54908377798,293.9097432863676,2.0924589589200488E-5,-1.2641912368122594,-0.6229235967835857,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T06,2023-01-02 06:00:00,286.7991756783286,100705.31824453398,294.9075505015443,2.1007381082600264E-5,-1.0305882361916046,-0.3393244586955201,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T07,2023-01-02 07:00:00,287.74139267485924,100639.65577391072,294.30316400132426,2.5004925368466136E-5,-0.9932346550180882,-0.6293897483644884,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102T08,2023-01-02 08:00:00,287.52501573535244,100560.9166221213,294.6745219180994,4.133484264909705E-5,-0.7679948926027583,-0.6600326052293797,"{""type"":""MultiPoint"",""coordinates"":[]}"
