Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,121.19,177.87,20.44,50.4,70.83,31.37,4.24,0.5,11.04,8.37,,,,,,,65.83,0.5,266.54,0.0,0.0,4.6,1018.88,
2019-01-01 01:00:00,109.35,168.65,17.64,44.11,61.75,33.54,4.44,0.61,10.9,6.58,,,,,,,72.54,1.02,224.47,0.0,0.0,4.83,1018.68,
2019-01-01 02:00:00,106.8,162.88,20.26,51.19,71.45,29.16,3.22,0.71,6.69,9.36,,,,,,,77.97,0.76,115.1,0.0,0.0,5.2,1018.62,
2019-01-01 03:00:00,110.86,160.16,18.95,47.98,66.93,30.87,2.62,0.77,5.85,9.21,,,,,,,82.07,0.83,166.07,0.0,0.0,5.85,1018.6,
2019-01-01 04:00:00,116.01,163.02,18.68,44.55,63.23,31.97,4.83,0.86,8.49,7.8,,,,,,,79.39,0.93,312.62,0.0,0.0,6.88,1018.67,
2019-01-01 05:00:00,122.72,165.83,21.24,45.56,66.8,30.57,6.25,1.29,7.71,9.32,,,,,,,81.59,0.94,316.56,0.0,0.0,6.05,1018.98,
2019-01-01 06:00:00,129.11,166.91,20.9,45.22,66.12,30.43,6.32,1.44,6.25,8.94,,,,,,,84.41,0.98,283.91,0.0,0.0,6.53,1019.57,
2019-01-01 07:00:00,134.73,186.04,24.13,53.71,77.84,25.41,6.89,1.52,3.73,10.37,,,,,,,84.81,0.91,323.79,0.0,0.0,50.82,1020.95,
2019-01-01 08:00:00,136.73,191.3,20.74,70.19,90.93,21.98,19.76,1.43,9.83,10.97,,,,,,,71.17,0.73,318.2,0.0,0.0,181.92,1021.62,
2019-01-01 09:00:00,141.81,211.73,19.7,64.69,84.4,26.56,31.89,1.31,19.13,9.62,,,,,,,58.81,0.73,321.07,0.0,0.0,179.65,1021.83,
2019-01-01 10:00:00,159.41,230.74,18.06,55.32,73.37,31.11,20.38,0.93,26.62,8.67,,,,,,,49.45,0.83,331.0,0.0,0.0,259.43,1021.38,
2019-01-01 11:00:00,157.9,231.05,15.68,42.72,58.4,34.85,11.75,0.48,33.87,6.47,,,,,,,39.18,0.96,317.11,0.0,0.0,489.0,1020.1,
